"year","name","artist","danceability","energy","key","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","artist_popularity","artist_followers","playlist_url","duration_seconds","playlist","group"
"2013","Blurred Lines","Robin Thicke",0.861,0.504,7,-7.707,0.0489,0.00412,1.78e-05,0.0783,0.881,120,60,1954458,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",263.053,"popular","popular"
"2013","Radioactive","Imagine Dragons",0.448,0.784,9,-3.686,0.0627,0.106,0.000108,0.668,0.236,136.245,84,51152394,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",186.813,"popular","popular"
"2013","Harlem Shake","Baauer",0.452,0.794,0,-5.151,0.0483,0.0111,0.00182,0.416,0.282,137.825,49,193873,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",196.664,"popular","popular"
"2013","Can't Hold Us (feat. Ray Dalton)","Macklemore & Ryan Lewis",0.641,0.922,2,-4.457,0.0786,0.0291,0,0.0862,0.847,146.078,71,2622429,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",258.343,"popular","popular"
"2013","Mirrors","Justin Timberlake",0.574,0.512,5,-6.664,0.0503,0.234,0,0.0946,0.512,76.899,78,13470511,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",484.147,"popular","popular"
"2013","Just Give Me a Reason (feat. Nate Ruess)","P!nk",0.778,0.547,2,-7.273,0.0489,0.346,0.000302,0.132,0.441,95.002,78,16103521,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",242.733,"popular","popular"
"2013","When I Was Your Man","Bruno Mars",0.612,0.28,0,-8.648,0.0434,0.932,0,0.088,0.387,72.795,86,52305779,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",213.827,"popular","popular"
"2013","Cruise","Florida Georgia Line",0.457,0.948,10,-3.364,0.0354,0.0191,0,0.0536,0.878,148,71,5427204,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",208.96,"popular","popular"
"2013","Roar","Katy Perry",0.671,0.771,7,-4.821,0.0316,0.00492,7.28e-06,0.354,0.436,90.003,81,30462395,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",223.546,"popular","popular"
"2013","Locked out of Heaven","Bruno Mars",0.726,0.698,5,-4.165,0.0431,0.049,0,0.309,0.867,143.994,86,52305779,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",233.478,"popular","popular"
"2013","Ho Hey","The Lumineers",0.682,0.471,0,-9.182,0.0301,0.765,0,0.0908,0.421,79.907,76,5279870,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",163.133,"popular","popular"
"2013","Stay","Rihanna",0.621,0.31,9,-10.164,0.0283,0.945,6.12e-05,0.117,0.125,111.893,87,58623404,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",240.707,"popular","popular"
"2013","Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]","Daft Punk",0.794,0.811,6,-8.966,0.038,0.0426,1.07e-06,0.101,0.862,116.047,78,9708491,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",248.413,"popular","popular"
"2013","Royals","Lorde",0.674,0.428,7,-9.504,0.122,0.121,0,0.132,0.337,84.878,74,10000283,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",190.185,"popular","popular"
"2013","I Knew You Were Trouble.","Taylor Swift",0.622,0.469,3,-6.798,0.0363,0.00454,2.25e-06,0.0335,0.679,77.019,100,93162122,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",219.72,"popular","popular"
"2013","We Can't Stop","Miley Cyrus",0.613,0.622,1,-5.794,0.0334,0.00882,0,0.37,0.484,80.003,82,22682874,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",231.24,"popular","popular"
"2013","Wake Me Up","Avicii",0.532,0.783,2,-5.697,0.0523,0.0038,0.0012,0.161,0.643,124.08,78,23211510,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",247.427,"popular","popular"
"2013","Suit & Tie (feat. Jay-Z)","Justin Timberlake",0.795,0.596,11,-3.799,0.219,0.103,0,0.164,0.357,101.985,78,13470511,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",326.28,"popular","popular"
"2013","Cups - Movie Version","Anna Kendrick",0.927,0.329,7,-13.676,0.156,0.554,2.87e-05,0.0302,0.791,129.998,63,345190,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",76.947,"popular","popular"
"2013","Holy Grail","JAY-Z",0.676,0.534,2,-6.901,0.0831,0.0594,8.59e-06,0.256,0.156,145.082,81,8749468,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",338.413,"popular","popular"
"2013","Scream & Shout","will.i.am",0.772,0.685,5,-6.849,0.0696,0.019,8.96e-05,0.131,0.501,130.033,70,4147589,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",283.4,"popular","popular"
"2013","Clarity","Zedd",0.509,0.781,8,-3.48,0.072,0.0398,0,0.0749,0.176,128,71,5993765,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",271.427,"popular","popular"
"2013","Sail","AWOLNATION",0.826,0.436,1,-9.583,0.0558,0.441,0.615,0.0964,0.272,119.051,59,2140210,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",259.093,"popular","popular"
"2013","Don't You Worry Child","Swedish House Mafia",0.632,0.88,2,-4.051,0.0463,0.0144,0.0021,0.118,0.338,129.007,73,3790166,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",403.493,"popular","popular"
"2013","Diamonds","Rihanna",0.564,0.71,11,-4.92,0.0461,0.00125,0,0.109,0.393,91.972,87,58623404,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",225.147,"popular","popular"
"2013","I Love It (feat. Charli XCX)","Icona Pop",0.711,0.906,8,-2.671,0.0284,0.00952,1.64e-05,0.153,0.824,125.916,63,711867,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",157.153,"popular","popular"
"2013","Safe And Sound","Capital Cities",0.655,0.819,0,-4.852,0.0316,0.000176,0.00374,0.104,0.766,117.956,63,877857,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",192.79,"popular","popular"
"2013","Treasure","Bruno Mars",0.874,0.692,5,-5.28,0.0431,0.0412,7.24e-05,0.324,0.937,116.017,86,52305779,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",178.56,"popular","popular"
"2013","The Way","Ariana Grande",0.645,0.878,5,-3.208,0.113,0.294,0,0.076,0.862,82.324,86,95007497,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",227.027,"popular","popular"
"2013","Started From the Bottom","Drake",0.794,0.523,8,-7.829,0.161,0.0331,0,0.156,0.56,86.307,95,82201449,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",174.12,"popular","popular"
"2013","Come & Get It","Selena Gomez",0.546,0.787,7,-4.1,0.0517,0.0101,0.00021,0.0809,0.573,79.979,81,46621750,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",231.987,"popular","popular"
"2013","Hold On, We're Going Home","Drake",0.773,0.414,6,-7.436,0.0961,0.00411,3.4e-05,0.0733,0.289,99.993,95,82201449,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",227.88,"popular","popular"
"2013","Daylight","Maroon 5",0.656,0.674,7,-5.473,0.0269,0.00242,0,0.255,0.369,120.001,82,41729321,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",225.067,"popular","popular"
"2013","Feel This Moment (feat. Christina Aguilera)","Pitbull",0.673,0.758,7,-3.632,0.158,0.039,0,0.341,0.542,135.956,80,10299733,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",229.507,"popular","popular"
"2013","Applause","Lady Gaga",0.669,0.78,7,-4.287,0.053,0.0265,1.63e-06,0.143,0.738,139.945,82,28517734,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",212.333,"popular","popular"
"2013","One More Night","Maroon 5",0.716,0.821,5,-3.435,0.0314,0.0558,0,0.0844,0.618,92.997,82,41729321,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",219.547,"popular","popular"
"2013","Love Me","Lil Wayne",0.669,0.634,11,-6.476,0.0327,0.0125,0,0.0946,0.496,124.906,83,14235199,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",255.053,"popular","popular"
"2013","My Songs Know What You Did In The Dark (Light Em Up)","Fall Out Boy",0.558,0.924,9,-4.341,0.064,0.0271,3.32e-06,0.537,0.567,151.99,77,10386775,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",186.827,"popular","popular"
"2013","F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)","A$AP Rocky",0.853,0.693,1,-6.87,0.275,0.0239,0,0.11,0.662,95.967,79,13085916,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",233.787,"popular","popular"
"2013","Beauty And A Beat","Justin Bieber",0.602,0.843,0,-4.831,0.0593,0.000688,5.27e-05,0.0682,0.526,128.003,87,74713042,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",227.987,"popular","popular"
"2013","Same Love (feat. Mary Lambert)","Macklemore & Ryan Lewis",0.688,0.473,8,-9.059,0.167,0.716,4.46e-05,0.104,0.299,84.958,71,2622429,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",318.525,"popular","popular"
"2013","Sweet Nothing (feat. Florence Welch)","Calvin Harris",0.573,0.929,8,-3.942,0.109,0.197,0.000112,0.0567,0.582,127.934,82,23447732,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",212.56,"popular","popular"
"2013","Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix","Lana Del Rey",0.572,0.81,1,-5.791,0.0558,0.0157,6.53e-06,0.13,0.11,126.052,88,29797024,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",214.912,"popular","popular"
"2013","Home","Phillip Phillips",0.606,0.826,0,-6.04,0.0307,0.0256,1.56e-05,0.117,0.322,121.04,59,1111283,"https://open.spotify.com/playlist/7A2y24vTcfs2PeHc3YkjYe?si=cd22b32301ac404a",210.173,"popular","popular"
